Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad,Zd,Ac_used,Zc_used,Qc_Ismail_MeV,Q_source,parity_case,param_set_used,l_used,log10T_Ismail2022_FE_s,T_Ismail2022_FE_s,Talpha_exp_s,HF_Ismail2022_FE,log10HF_Ismail2022_FE
246Fm,246,100,8.24276,1.54,0.936,0,146,242,98,4,2,8.379003966942149,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,0.44879986840002406,2.810605348664235,1.6452991452991452,0.5853896015963566,-0.23255499630166618
248Fm,248,100,7.86605,34.5,0.0099,0,148,244,98,4,2,7.995001639344263,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,1.6880770183152904,48.76149566697021,3484.8484848484845,71.46721890257832,1.8541068821604338
250Fm,250,100,7.43609,1860.0,1.0,0,150,246,98,4,2,7.557002032520326,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,3.2283685462348815,1691.876063991305,1860.0,1.099371307146502,0.04114439798303487
252Fm,252,100,7.02243,91368.0,1.0,0,152,248,98,4,2,7.135695,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,4.842137688622795,69524.47028724183,91368.0,1.3141847700890228,0.11865642990317783
254Fm,254,100,7.19222,11664.0,0.9994,0,154,250,98,4,2,7.307295519999999,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,4.05471862067365,11342.756805164885,11671.002601560936,1.0289388022712949,0.012389545193681755
256Fm,256,100,6.91553,9426.0,0.919,0,156,252,98,4,2,7.025300317460318,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,5.145668622180368,139851.9808899323,10256.800870511424,0.0733404046567194,-1.1346566981428625
252No,252,102,8.4133,2.467,0.676,0,150,248,100,4,2,8.548998387096773,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,0.5773089161711922,3.778408557437944,3.6494082840236683,0.9658585694338603,-0.015086462623092094
254No,254,102,8.09646,51.2,0.9,0,152,250,100,4,2,8.22600336,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,1.5904545208233847,38.945252222695956,56.88888888888889,1.4607400297111441,0.1645729307131212
256No,256,102,8.44791,2.91,0.9945,0,154,252,100,4,2,8.58200380952381,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,0.32405293243667677,2.1088851682304046,2.9260935143288083,1.3875072756019877,0.14223526908877615
256Rf,256,104,8.78653,0.0066,0.0031,0,152,252,102,4,2,8.925998730158732,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,0.11573260395186002,1.3053669234288376,2.129032258064516,1.6309837639153115,0.2124496377557359
258Rf,258,104,9.05343,0.0125,0.951,0,154,254,102,4,2,9.196003700787402,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,-0.7760454079228167,0.16747677605135286,0.013144058885383808,0.07848287503070568,-1.1052250960065406
260Sg,260,106,9.74868,0.00495,0.71,0,154,256,104,4,2,9.901003125,Ealpha_MeV converted by A/(A-4),even-even,even-even,0.0,-2.0212742389752902,0.0095219470263326,0.006971830985915494,0.7321854413425266,-0.13537891081021625
