Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N,Ad,Zd,Qalpha_MeV,x,Ks,y,z,N_interval,Z_interval,F_yz,log10_Tcalc_s,Tcalc_s,Br_alpha,Talpha_exp_s,HF,log10_HF
246Fm,246,100,8.24276,1.54,0.936,0,146,242,98,8.379003966942149,0.2843265020357713,47.33716913164762,0.3275862068965517,0.53125,"(127,185]","(83,115]",0.9598565270232611,-0.7130090673024725,0.19363815352948444,0.936,1.6452991452991452,8.49677150556294,0.9292539394008302
248Fm,248,100,7.86605,34.5,0.0099,0,148,244,98,7.995001639344263,0.27189008041354534,50.20643759785365,0.3620689655172414,0.53125,"(127,185]","(83,115]",0.9610269180384217,0.5085949624882744,3.225484524111373,0.0099,3484.8484848484845,1080.4108526326186,3.03358893798745
250Fm,250,100,7.43609,1860.0,1.0,0,150,246,98,7.557002032520326,0.25755321325768515,53.78190203179234,0.39655172413793105,0.53125,"(127,185]","(83,115]",0.9622636491249257,2.0297684150114392,107.09480761604127,1.0,1860.0,17.367788797646607,1.239744529206477
252Fm,252,100,7.02243,91368.0,1.0,0,152,248,98,7.135695,0.2437189056804859,57.552873513964585,0.43103448275862066,0.53125,"(127,185]","(83,115]",0.9635667202827733,3.6382493697337353,4347.597894261531,1.0,91368.0,21.015742996977295,1.3225447487922382
254Fm,254,100,7.19222,11664.0,0.9994,0,154,250,98,7.307295519999999,0.2501140612944941,55.860558431430285,0.46551724137931033,0.53125,"(127,185]","(83,115]",0.9649361315119651,2.963285207711454,918.9358773675852,0.9994,11671.002601560936,12.700562562639393,1.1038229581558772
256Fm,256,100,6.91553,9426.0,0.919,0,156,252,98,7.025300317460318,0.24097274418290768,58.46118123375059,0.5,0.53125,"(127,185]","(83,115]",0.9663718828125001,4.089571758975353,12290.562481755293,0.919,10256.800870511424,0.834526563429226,-0.07855983493784746
252No,252,102,8.4133,2.467,0.676,0,150,248,100,8.548998387096773,0.2861503302672151,47.58219865456879,0.39655172413793105,0.59375,"(127,185]","(83,115]",0.9516389777887189,-0.7806790412445856,0.16569940874483902,0.676,3.6494082840236683,22.02426859376066,1.3429014947926856
254No,254,102,8.09646,51.2,0.9,0,152,250,100,8.22600336,0.27592839524573104,49.94107554461303,0.43103448275862066,0.59375,"(127,185]","(83,115]",0.9529355123086356,0.2223455713109459,1.6685743813599028,0.9,56.88888888888889,34.09430800593016,1.53268188022556
256No,256,102,8.44791,2.91,0.9945,0,154,252,100,8.58200380952381,0.28848139393568145,47.1820716463183,0.46551724137931033,0.59375,"(127,185]","(83,115]",0.954298386899896,-0.8915544337212893,0.12836468703045253,0.9945,2.9260935143288083,22.795159494562846,1.3578426352467423
256Rf,256,104,8.78653,0.0066,0.0031,0,152,252,102,8.925998730158732,0.29416144745694073,46.43016314124147,0.43103448275862066,0.65625,"(127,185]","(83,115]",0.9409902418344976,-1.4715305762092115,0.03376520756392072,0.0031,2.129032258064516,63.05402547975034,1.7997128179168074
258Rf,258,104,9.05343,0.0125,0.951,0,154,254,102,9.196003700787402,0.3036986513774004,44.51321204557292,0.46551724137931033,0.65625,"(127,185]","(83,115]",0.9423465797878271,-2.2287044680583215,0.005906028412771801,0.951,0.013144058885383808,2.225532619680554,0.34743396412896405
260Sg,260,106,9.74868,0.00495,0.71,0,154,256,104,9.901003125,0.3213644640748697,41.569085504933675,0.46551724137931033,0.71875,"(127,185]","(83,115]",0.9290807101757582,-3.673097404655845,0.0002122768308804457,0.71,0.006971830985915494,32.84310848715293,1.5164442548703385
262Sg,262,106,9.45344,0.0085,0.06,0,156,258,104,9.60000496124031,0.3122422080305038,43.346996518730286,0.5,0.71875,"(127,185]","(83,115]",0.9304968515625,-2.929060492273642,0.0011774419578475597,0.06,0.1416666666666667,120.31732496236378,2.080328167604291
264Hs,264,108,10.4305,0.00063,0.7,0,156,260,106,10.59096923076923,0.3386712496599596,38.9535385054436,0.5,0.78125,"(127,185]","(83,115]",0.9159103828125001,-4.951263031113278,1.1187600994821739e-05,0.7,0.0009000000000000001,80.44620114862619,1.9055055405526031
266Hs,266,108,10.1904,0.00074,0.76,0,158,262,106,10.3459786259542,0.3315147027317635,40.248359651818284,0.5344827586206896,0.78125,"(127,185]","(83,115]",0.9173863276326546,-4.410416791125574,3.8867195862463576e-05,0.76,0.0009736842105263157,25.051568267796288,1.3988349185757585
268Hs,268,108,9.47937,0.4,1.0,0,160,264,106,9.622996818181818,0.30897535624087785,44.552969150862154,0.5689655172413793,0.78125,"(127,185]","(83,115]",0.9189286125241527,-2.665550430426155,0.0021599792026760676,1.0,0.4,185.18696823766967,2.2676104217541173
270Hs,270,108,8.93563,7.6,1.0,0,162,266,106,9.07000037593985,0.29180777995870577,48.2091879977045,0.603448275862069,0.78125,"(127,185]","(83,115]",0.9205372374869947,-1.1727262886719174,0.06718521500555091,1.0,7.6,113.12012619699259,2.053539880952709
272Hs,272,108,9.62829,0.16,1.0,0,164,268,106,9.77199582089552,0.3150233643259639,43.45225028037609,0.6379310344827587,0.78125,"(127,185]","(83,115]",0.9222122025211801,-3.0428666445844925,0.000906010759839694,1.0,0.16,176.59834418336243,2.2469866272404175
270Ds,270,110,10.9523,0.0002,1.0,0,160,266,108,11.116996240601502,0.35104204028519004,37.35801296331083,0.5689655172413793,0.84375,"(127,185]","(83,115]",0.9030150079982906,-5.7951423715424895,1.6027198967705064e-06,1.0,0.0002,124.78786867437138,2.0961723672064707
276Ds,276,110,10.746,0.00015,0.43,0,166,272,108,10.904029411764707,0.3463781068709262,38.25073252577946,0.6724137931034483,0.84375,"(127,185]","(83,115]",0.9080202931870542,-5.361892373160748,4.346179178198296e-06,0.43,0.00034883720930232553,80.262960867374,1.9045151766368424
284Cn,284,112,9.32676,0.098,0.02,0,172,280,110,9.459999428571429,0.2973441412554034,48.23485752794375,0.7758620689655172,0.90625,"(127,185]","(83,115]",0.896355752164462,-1.669020972577158,0.021427871209810868,0.02,4.9,228.67413902303596,2.359217052605672
284Fl,284,114,10.57,0.0025,0.24,0,170,280,112,10.721,0.33096207754972323,41.863826172728686,0.7413793103448276,0.96875,"(127,185]","(83,115]",0.8758540874052467,-4.521896530655608,3.0067925765205098e-05,0.24,0.010416666666666668,346.43782042062037,2.53962529761604
