Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Qalpha_VS_MeV,Qalpha_source,log10T_VS_s,T_VS_s,Talpha_exp_s,log10Talpha_exp_s,Delta_log10_exp_minus_VS,HF_VS
246Fm,246,100,8.24276,1.54,0.936,0,146.0,8.379003966942149,Ealpha_MeV converted by A/(A-4),0.4316129183424735,2.701549430924395,1.6452991452991452,0.21624487209835783,-0.21536804624411568,0.6090205592633445
248Fm,248,100,7.86605,34.5,0.0099,0,148.0,7.995001639344263,Ealpha_MeV converted by A/(A-4),1.7213301465023392,52.641729170307045,3484.8484848484845,3.5421839004757243,1.8208537539733851,66.19935438621836
250Fm,250,100,7.43609,1860.0,1.0,0,150.0,7.557002032520326,Ealpha_MeV converted by A/(A-4),3.310803657321138,2045.5196569574616,1860.0,3.269512944217916,-0.041290713103221854,0.9093043880920673
252Fm,252,100,7.02243,91368.0,1.0,0,152.0,7.135695,Ealpha_MeV converted by A/(A-4),4.975800494271105,94580.25797895266,91368.0,4.960794118525973,-0.015006375745132416,0.9660366967949326
254Fm,254,100,7.19222,11664.0,0.9994,0,154.0,7.307295519999999,Ealpha_MeV converted by A/(A-4),4.280271962936247,19066.543250774725,11671.002601560936,4.067108165867332,-0.21316379706891553,0.6121194832255035
256Fm,256,100,6.91553,9426.0,0.919,0,156.0,7.025300317460318,Ealpha_MeV converted by A/(A-4),5.436659101358792,273312.2524675083,10256.800870511424,4.011011924037506,-1.4256471773212862,0.03752777556773004
252No,252,102,8.4133,2.467,0.676,0,150.0,8.548998387096773,Ealpha_MeV converted by A/(A-4),0.6011700224379837,3.991811476548627,3.6494082840236683,0.5622224535481001,-0.0389475688898836,0.9142236063660489
254No,254,102,8.09646,51.2,0.9,0,152.0,8.22600336,Ealpha_MeV converted by A/(A-4),1.6709722095798227,46.87833838271193,56.88888888888889,1.7550274515365059,0.08405524195668312,1.2135432025011517
256No,256,102,8.44791,2.91,0.9945,0,154.0,8.58200380952381,Ealpha_MeV converted by A/(A-4),0.49526586604289236,3.127993673739272,2.9260935143288083,0.4662882015254529,-0.02897766451743944,0.9354537826896856
256Rf,256,104,8.78653,0.0066,0.0031,0,152.0,8.925998730158732,Ealpha_MeV converted by A/(A-4),0.11315786000315953,1.2976508633086992,2.129032258064516,0.32818224170759597,0.21502438170443644,1.640681880052076
258Rf,258,104,9.05343,0.0125,0.951,0,154.0,9.196003700787402,Ealpha_MeV converted by A/(A-4),-0.7009207398842285,0.19910366763182558,0.013144058885383808,-1.8812705039293576,-1.180349764045129,0.0660161565164599
260Sg,260,106,9.74868,0.00495,0.71,0,154.0,9.901003125,Ealpha_MeV converted by A/(A-4),-2.0412081808528306,0.009094772064719595,0.006971830985915494,-2.1566531497855066,-0.11544496893267597,0.7665756696597812
262Sg,262,106,9.45344,0.0085,0.06,0,156.0,9.60000496124031,Ealpha_MeV converted by A/(A-4),-1.21054669624991,0.06158193113766988,0.1416666666666667,-0.8487323246693508,0.3618143715805593,2.3004583333049893
264Hs,264,108,10.4305,0.00063,0.7,0,156.0,10.59096923076923,Ealpha_MeV converted by A/(A-4),-3.2214418262961075,0.0006005624488019628,0.0009000000000000001,-3.0457574905606752,0.1756843357354323,1.498595194880021
266Hs,266,108,10.1904,0.00074,0.76,0,158.0,10.3459786259542,Ealpha_MeV converted by A/(A-4),-2.600803347026236,0.002507244301840389,0.0009736842105263157,-3.011581872549815,-0.41077852552357896,0.38834835911745963
268Hs,268,108,9.47937,0.4,1.0,0,160.0,9.622996818181818,Ealpha_MeV converted by A/(A-4),-0.6330444902999446,0.2327852773923053,0.4,-0.3979400086720376,0.23510448162790698,1.7183217275630935
270Hs,270,108,8.93563,7.6,1.0,0,162.0,9.07000037593985,Ealpha_MeV converted by A/(A-4),1.0283154356421278,10.67371089962304,7.6,0.8808135922807914,-0.14750184336133643,0.7120297777850069
272Hs,272,108,9.62829,0.16,1.0,0,164.0,9.77199582089552,Ealpha_MeV converted by A/(A-4),-1.0563823509839025,0.08782489697718204,0.16,-0.7958800173440752,0.26050233363982733,1.8218068623703585
270Ds,270,110,10.9523,0.0002,1.0,0,160.0,11.116996240601502,Ealpha_MeV converted by A/(A-4),-3.9219115987068065,0.00011969841544314777,0.0002,-3.6989700043360187,0.22294159437078775,1.6708658945864865
276Ds,276,110,10.746,0.00015,0.43,0,166.0,10.904029411764707,Ealpha_MeV converted by A/(A-4),-3.4113410427399344,0.0003878456789467512,0.00034883720930232553,-3.4573771965239053,-0.04603615378397086,0.8994227040240371
284Cn,284,112,9.32676,0.098,0.02,0,172.0,9.459999428571429,Ealpha_MeV converted by A/(A-4),1.145888920069737,13.99229394511116,4.9,0.6901960800285137,-0.45569284004122335,0.3501927574721968
284Fl,284,114,10.57,0.0025,0.24,0,170.0,10.721,Ealpha_MeV converted by A/(A-4),-1.79697513976598,0.015959705024490747,0.010416666666666668,-1.9822712330395684,-0.18529609327358854,0.6526854130876425
286Fl,286,114,10.1905,105.0,0.4,0,172.0,10.33504609929078,Ealpha_MeV converted by A/(A-4),-0.7668121145083511,0.17107552659521963,262.5,2.4191293077419758,3.185941422250327,1534.4100072308943
288Fl,288,114,9.93606,0.64,1.0,0,174.0,10.076004507042253,Ealpha_MeV converted by A/(A-4),-0.04244332448240229,0.9068943067520844,0.64,-0.1938200260161128,-0.15137670153371052,0.7057051689871897
290Fl,290,114,9.724,0.46,1.0,0,176.0,9.86,Ealpha_MeV converted by A/(A-4),0.5832795632543117,3.830712538977465,0.46,-0.3372421683184259,-0.9205217315727376,0.12008209838757261
288Lv,288,116,11.0839,0.002,1.0,0,172.0,11.240011267605635,Ealpha_MeV converted by A/(A-4),-2.5414927675085117,0.0028741354574217484,0.002,-2.6989700043360187,-0.15747723682750703,0.6958614267241621
290Lv,290,116,10.8483,0.0083,1.0,0,174.0,11.000024475524476,Ealpha_MeV converted by A/(A-4),-1.9399154889908878,0.011483770668011635,0.0083,-2.0809219076239263,-0.14100641863303842,0.7227591215418366
292Lv,292,116,10.6432,0.013,1.0,0,176.0,10.791022222222223,Ealpha_MeV converted by A/(A-4),-1.3997404652143466,0.039834515086983255,0.013,-1.8860566476931633,-0.4863161824788167,0.3263501506573634
294Og,294,118,11.7085,0.00058,1.0,0,176.0,11.869996551724139,Ealpha_MeV converted by A/(A-4),-3.5053800778349427,0.00031233447394330316,0.00058,-3.2365720064370627,0.26880807139788,1.8569836133595843
