Name,A,Z,Ealpha_MeV,Texp_s,Br_alpha,l,N_calc,Ad,Zd,Qalpha_Xu_MeV,Q_source,l_used,X_Xu,bracket_Xu,F_Z_Xu,C_ZN_Xu,C_status,h_blocking_Xu,parity_case,log10T_Xu2022_s,T_Xu2022_s,Talpha_exp_s,HF_Xu2022,log10HF_Xu2022
246Fm,246,100,8.24276,1.54,0.936,0,146,242,98,8.379003966942149,Ealpha_MeV converted by A/(A-4),0.0,0.2843395569445657,0.557277039173288,107.85746999999998,0.0,outside_defined_region,0.0,even-even,0.14916662690822236,1.409829607708819,1.6452991452991452,1.1670198556639755,0.06707824519013547
248Fm,248,100,7.86605,34.5,0.0099,0,148,244,98,7.995001639344263,Ealpha_MeV converted by A/(A-4),0.0,0.2719025642216069,0.5773154557358346,107.85746999999998,0.0,outside_defined_region,0.0,even-even,1.397549321141824,24.97752033069606,3484.8484848484845,139.51939338693236,2.1446345793339003
250Fm,250,100,7.43609,1860.0,1.0,0,150,246,98,7.557002032520326,Ealpha_MeV converted by A/(A-4),0.0,0.2575650387148419,0.6012122399002824,107.85746999999998,0.0,outside_defined_region,0.0,even-even,2.953189912563399,897.8213168091766,1860.0,2.071681709017971,0.31632303165451714
252Fm,252,100,7.02243,91368.0,1.0,0,152,248,98,7.135695,Ealpha_MeV converted by A/(A-4),0.0,0.24373009587045602,0.6251364563868613,107.85746999999998,0.0,outside_defined_region,0.0,even-even,4.5938940027192,39254.91151240598,91368.0,2.3275558772084963,0.3669001158067736
254Fm,254,100,7.19222,11664.0,0.9994,0,154,250,98,7.307295519999999,Ealpha_MeV converted by A/(A-4),0.0,0.2501255450423401,0.6139674353040439,107.85746999999998,0.0,outside_defined_region,0.0,even-even,3.8575869804507654,7204.220228335017,11671.002601560936,1.6200230186825157,0.20952118541656595
256Fm,256,100,6.91553,9426.0,0.919,0,156,252,98,7.025300317460318,Ealpha_MeV converted by A/(A-4),0.0,0.24098380814778853,0.6299921655965756,107.85746999999998,0.0,outside_defined_region,0.0,even-even,4.989086459988936,97518.37594214488,10256.800870511424,0.1051781345968735,-0.9780745359514306
252No,252,102,8.4133,2.467,0.676,0,150,248,100,8.548998387096773,Ealpha_MeV converted by A/(A-4),0.0,0.28616346866756515,0.5543899039046911,110.09825556842588,0.0,outside_defined_region,0.0,even-even,0.26321815314549113,1.833235054758792,3.6494082840236683,1.9906930508176648,0.29900430040260895
254No,254,102,8.09646,51.2,0.9,0,152,250,100,8.22600336,Ealpha_MeV converted by A/(A-4),0.0,0.2759410642340245,0.5707403608367152,110.09825556842588,0.0,outside_defined_region,0.0,even-even,1.289905044217928,19.494183249900285,56.88888888888889,2.9182494162293198,0.46512240731857785
256No,256,102,8.44791,2.91,0.9945,0,154,252,100,8.58200380952381,Ealpha_MeV converted by A/(A-4),0.0,0.2884946392013321,0.5507185192737427,110.09825556842588,0.0,outside_defined_region,0.0,even-even,0.08906373539756629,1.2276193786652085,2.9260935143288083,2.3835510950554983,0.37722446612788657
256Rf,256,104,8.78653,0.0066,0.0031,0,152,252,102,8.925998730158732,Ealpha_MeV converted by A/(A-4),0.0,0.2941749535152088,0.5418591454855449,112.33361507002934,0.0,outside_defined_region,0.0,even-even,-0.23219738632996823,0.5858718259392147,2.129032258064516,3.6339556944071365,0.5603796280375642
