A	Z	N	Q	Error
294	118	176	11870	30
294	117	177	11180	40
293	117	176	11320	50
293	116	177	10680	60
292	116	176	10791	12
291	116	175	10890	90
290	116	174	11000	60
289	116	173	11240	15
288	116	172	11057	15
290	115	175	10410	40
289	115	174	10490	50
288	115	173	10650	50
287	115	172	10760	70
286	115	171	10860	20
289	114	175	9950	70
288	114	174	10076	12
287	114	173	10157	15
286	114	172	10335	10
285	114	171	10560	70
286	113	173	9790	50
285	113	172	10010	40
284	113	171	10280	40
283	113	170	10350	40
282	113	170	10780	80
278	113	165	11990	80
285	112	173	9320	20
284	112	172	9460	10
283	112	171	9667	15
281	112	169	10430	60
277	112	165	11620	60
282	111	171	9140	60
281	111	170	9450	60
280	111	169	10149	10
279	111	168	10530	170
278	111	167	10850	100
274	111	163	11480	90
272	111	161	11197	13
281	110	171	8853	30
279	110	169	9840	60
277	110	167	10710	40
276	110	166	10900	28
275	110	165	11370	20
273	110	163	11020	20
271	110	161	10870	18
270	110	160	11117	28
269	110	159	11510	30
267	110	157	11780	50
278	109	169	9580	30
276	109	167	10100	10
275	109	166	10480	50
274	109	165	10600	20
270	109	161	10180	50
268	109	159	10770	150
266	109	157	10996	25
275	108	167	9450	50
273	108	165	9650	60
272	108	164	9772	21
271	108	163	9480	20
270	108	162	9070	40
269	108	161	9085	50
268	108	160	9623	16
267	108	159	10038	13
266	108	158	10346	16
265	108	157	10470	15
264	108	156	10590	20
263	108	155	10730	80
274	107	167	8940	60
272	107	165	9300	50
271	107	164	9420	90
270	107	163	9060	100
267	107	160	9230	50
266	107	159	9220	40
265	107	158	9680	60
264	107	157	9960	60
262	107	155	10320	40
261	107	154	10500	40
260	107	153	10400	60
271	106	165	8629	16
269	106	163	8580	70
267	106	161	8400	20
265	106	159	8820	50
263	106	157	9400	60
262	106	156	9600	15
261	106	155	9714	15
260	106	154	9901	10
259	106	153	9765	80
257	106	151	9450	70
270	105	165	8019	30
263	105	158	8489	80
262	105	157	8773	50
261	105	156	9065	20
260	105	155	9500	30
259	105	154	9620	50
258	105	153	9437	10
257	105	152	9206	20
256	105	151	9340	30
261	104	157	8408	20
258	104	154	9196	80
257	104	153	9083	80
256	104	152	8926	15
255	104	151	9055	40
253	104	149	9460	20
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
