# runnum	map_entry	idx	waveselect	DG_num	curr_ch	entry	SampleNo
# 18	61136151	1	2	0	199	35472855	2500
# sample	ADC
0	1947
1	1946
2	1941
3	1942
4	1940
5	1944
6	1945
7	1944
8	1945
9	1945
10	1945
11	1944
12	1946
13	1946
14	1946
15	1944
16	1944
17	1947
18	1948
19	1947
20	1945
21	1948
22	1947
23	1949
24	1949
25	1948
26	1948
27	1948
28	1946
29	1948
30	1948
31	1948
32	1946
33	1950
34	1949
35	1947
36	1943
37	1942
38	1944
39	1945
40	1944
41	1942
42	1944
43	1946
44	1944
45	1944
46	1941
47	1944
48	1946
49	1944
50	1941
51	1942
52	1946
53	1946
54	1945
55	1945
56	1945
57	1944
58	1945
59	1944
60	1946
61	1945
62	1945
63	1945
64	1946
65	1946
66	1951
67	1950
68	1948
69	1946
70	1950
71	1952
72	1950
73	1948
74	1948
75	1946
76	1947
77	1948
78	1949
79	1947
80	1946
81	1947
82	1945
83	1945
84	1946
85	1945
86	1946
87	1944
88	1943
89	1942
90	1942
91	1943
92	1945
93	1947
94	1948
95	1946
96	1946
97	1945
98	1945
99	1945
100	1945
101	1945
102	1944
103	1945
104	1946
105	1946
106	1947
107	1946
108	1947
109	1948
110	1948
111	1948
112	1947
113	1945
114	1943
115	1944
116	1943
117	1944
118	1947
119	1948
120	1947
121	1945
122	1947
123	1946
124	1948
125	1945
126	1947
127	1948
128	1942
129	1941
130	1941
131	1943
132	1943
133	1944
134	1948
135	1947
136	1948
137	1946
138	1946
139	1946
140	1949
141	1947
142	1946
143	1944
144	1943
145	1944
146	1946
147	1944
148	1943
149	1940
150	1943
151	1945
152	1944
153	1943
154	1946
155	1945
156	1944
157	1945
158	1943
159	1945
160	1944
161	1943
162	1944
163	1943
164	1945
165	1945
166	1947
167	1947
168	1947
169	1947
170	1945
171	1945
172	1945
173	1947
174	1943
175	1944
176	1947
177	1949
178	1946
179	1945
180	1946
181	1943
182	1947
183	1955
184	2107
185	2271
186	2338
187	2380
188	2407
189	2415
190	2416
