Peak_ID	Energy_Mean	Energy_Error	Sigma	Sigma_Error	FWHM	FWHM_Error
1	6110.2888	0.0896	14.8564	0.0814	34.9868	0.1917
2	5308.1839	0.1269	12.6545	0.1234	29.8014	0.2906
3	6622.5610	0.1458	14.3076	0.1512	33.6945	0.3560
4	6286.4699	0.1680	15.0090	0.1685	35.3462	0.3968
5	7448.3397	0.1442	11.8771	0.1089	27.9706	0.2564
6	5688.1364	0.1395	11.7678	0.1025	27.7132	0.2413
7	6776.4761	0.1939	16.7975	0.2394	39.5580	0.5638
8	7680.9451	0.1976	13.0583	0.1416	30.7522	0.3335
9	6553.7331	0.1777	14.1550	0.1709	33.3351	0.4025
10	7382.8663	0.1873	14.2656	0.1877	33.5956	0.4421
11	7130.9741	0.1557	11.0002	0.1297	25.9055	0.3054
12	6338.7540	0.1615	10.4200	0.1181	24.5391	0.2781
13	5806.1166	0.6201	31.6208	1.1754	74.4671	2.7681
14	5427.9236	0.1697	9.4311	0.0978	22.2102	0.2303
15	6807.0848	0.6745	13.9776	0.2905	32.9173	0.6841
16	7066.5188	0.1622	9.7907	0.1141	23.0570	0.2687
17	8018.5817	0.2596	13.0418	0.2236	30.7135	0.5267
18	6079.6309	4.9310	39.4482	2.6337	92.9005	6.2023
19	8783.6664	0.2993	14.3494	0.3047	33.7928	0.7175
20	8373.4949	0.3494	16.3197	0.3870	38.4328	0.9115
21	7884.6070	0.3744	15.2275	0.3366	35.8607	0.7926
22	7313.6341	0.4203	18.3891	0.4890	43.3064	1.1516
