Peak_ID	Energy_Mean	Energy_Error	Sigma	Sigma_Error	FWHM	FWHM_Error	Bkg_Level
1	6113.4494	0.5906	12.7078	0.9966	29.9269	2.3470	17.2286
2	6289.5450	1.0826	10.0937	1.4564	23.7706	3.4298	11.0494
3	6780.5720	1.0795	13.2353	2.2158	31.1691	5.2183	4.6290
4	5311.1266	1.2511	9.1019	1.6684	21.4349	3.9290	17.7295
5	6817.1859	1.1187	6.0202	1.0548	14.1775	2.4839	9.7050
6	6341.9437	1.5176	9.6336	1.7219	22.6872	4.0551	10.0988
7	7383.9312	1.6464	12.7329	3.0519	29.9861	7.1873	5.3237
8	5687.6232	1.2861	12.3105	2.0223	28.9913	4.7625	11.7234
9	5807.4265	3.2641	16.2484	9.2782	38.2649	21.8501	21.2672
10	7064.4260	1.5897	9.9678	2.3745	23.4742	5.5918	6.2828
11	6626.0125	1.3464	9.8932	1.8141	23.2985	4.2721	6.6281
12	5429.2959	1.9441	14.4139	4.2727	33.9448	10.0623	7.9758
13	8782.2686	1.3864	29.7573	36.0075	70.0785	84.7977	-11.9562
14	7686.4239	2.2885	7.2398	1.7662	17.0496	4.1595	4.2584
15	6075.4307	1.6700	1.6812	3.1783	3.9591	7.4848	18.3889
